personnel_code,unit_code,weekly_duty_hours,consecutive_duty_days,leave_days_last_90,night_shift_ratio,deployment_months_last_year,transfer_count_last_2yr,training_load_hours,overdue_leave_flag,stress_level,mood,sleep_quality,fatigue_level,perceived_workload,burnout_index,stress_label,data_source
PID-00001,UNIT-31,56.3,3,13,0.36,2.7,1,18.8,False,2,4,3,3,3,0.408,0,SYNTHETIC_DEMO_DATA
PID-00002,UNIT-37,37.4,4,17,0.47,2.6,2,5.8,False,3,3,4,2,2,0.331,0,SYNTHETIC_DEMO_DATA
PID-00003,UNIT-08,62.5,6,4,0.05,10.0,3,23.7,False,3,2,2,4,4,0.573,0,SYNTHETIC_DEMO_DATA
PID-00004,UNIT-18,65.2,6,16,0.2,3.3,1,41.5,False,2,3,3,3,3,0.455,0,SYNTHETIC_DEMO_DATA
PID-00005,UNIT-04,30.0,7,13,0.11,0.0,4,16.9,False,3,4,5,2,2,0.268,0,SYNTHETIC_DEMO_DATA
PID-00006,UNIT-11,33.8,8,7,0.17,1.5,1,27.7,False,3,4,4,2,3,0.265,0,SYNTHETIC_DEMO_DATA
PID-00007,UNIT-23,53.8,5,7,0.03,7.8,0,43.6,False,3,3,4,2,3,0.441,0,SYNTHETIC_DEMO_DATA
PID-00008,UNIT-06,47.6,9,10,0.15,4.2,4,28.6,False,3,3,4,3,2,0.378,1,SYNTHETIC_DEMO_DATA
PID-00009,UNIT-18,51.8,4,14,0.24,4.6,0,13.6,False,3,3,4,3,3,0.453,0,SYNTHETIC_DEMO_DATA
PID-00010,UNIT-38,40.1,6,11,0.31,8.5,0,22.4,False,3,4,3,2,2,0.289,0,SYNTHETIC_DEMO_DATA
PID-00011,UNIT-03,64.3,9,4,0.37,2.7,1,24.8,False,4,3,3,4,2,0.555,1,SYNTHETIC_DEMO_DATA
PID-00012,UNIT-10,62.9,3,7,0.14,6.9,0,34.3,False,2,3,3,3,3,0.417,0,SYNTHETIC_DEMO_DATA
PID-00013,UNIT-12,52.9,4,20,0.49,3.0,1,32.1,False,2,4,4,2,2,0.311,0,SYNTHETIC_DEMO_DATA
PID-00014,UNIT-37,67.8,6,10,0.56,6.7,1,0.0,False,3,3,3,3,4,0.616,1,SYNTHETIC_DEMO_DATA
PID-00015,UNIT-30,58.5,10,14,0.62,3.8,1,11.4,False,3,3,3,4,3,0.539,1,SYNTHETIC_DEMO_DATA
PID-00016,UNIT-08,40.0,8,12,0.56,4.3,1,19.3,False,3,4,3,2,3,0.351,0,SYNTHETIC_DEMO_DATA
PID-00017,UNIT-29,57.2,5,10,0.25,7.5,0,9.8,False,3,3,5,4,3,0.482,0,SYNTHETIC_DEMO_DATA
PID-00018,UNIT-01,38.6,7,9,0.23,7.2,2,0.0,False,4,3,4,3,3,0.415,0,SYNTHETIC_DEMO_DATA
PID-00019,UNIT-32,64.3,4,14,0.09,4.5,2,12.7,False,3,4,3,3,2,0.473,0,SYNTHETIC_DEMO_DATA
PID-00020,UNIT-09,51.3,6,13,0.4,3.6,0,20.0,False,3,3,5,3,3,0.324,0,SYNTHETIC_DEMO_DATA
PID-00021,UNIT-29,49.4,5,10,0.28,9.8,2,14.7,False,2,3,4,3,3,0.418,0,SYNTHETIC_DEMO_DATA
PID-00022,UNIT-20,42.5,7,4,0.59,6.8,2,10.0,False,3,4,4,3,3,0.436,0,SYNTHETIC_DEMO_DATA
PID-00023,UNIT-30,69.1,5,11,0.15,3.8,0,20.4,False,2,4,3,2,3,0.443,0,SYNTHETIC_DEMO_DATA
PID-00024,UNIT-14,49.8,7,8,0.3,3.0,0,23.4,False,3,3,3,3,2,0.44,0,SYNTHETIC_DEMO_DATA
PID-00025,UNIT-22,46.0,7,7,0.22,8.1,0,15.3,False,2,5,2,2,3,0.401,0,SYNTHETIC_DEMO_DATA
PID-00026,UNIT-37,47.1,11,25,0.24,5.3,3,33.7,False,2,3,4,3,4,0.423,0,SYNTHETIC_DEMO_DATA
PID-00027,UNIT-33,59.5,3,0,0.62,4.5,2,20.6,True,2,3,3,4,2,0.594,1,SYNTHETIC_DEMO_DATA
PID-00028,UNIT-22,57.1,5,14,0.11,5.3,1,11.3,False,4,3,3,3,3,0.482,0,SYNTHETIC_DEMO_DATA
PID-00029,UNIT-37,57.8,7,3,0.2,6.0,0,8.8,False,3,3,4,2,4,0.364,0,SYNTHETIC_DEMO_DATA
PID-00030,UNIT-05,58.0,2,9,0.24,4.8,0,17.9,False,3,4,3,3,3,0.452,0,SYNTHETIC_DEMO_DATA
PID-00031,UNIT-29,82.0,10,24,0.32,8.6,1,31.1,False,2,3,3,3,4,0.537,0,SYNTHETIC_DEMO_DATA
PID-00032,UNIT-26,46.3,7,3,0.14,8.8,0,11.8,False,3,2,3,2,3,0.372,0,SYNTHETIC_DEMO_DATA
PID-00033,UNIT-11,44.8,7,4,0.38,6.6,1,26.0,False,2,3,4,2,3,0.436,0,SYNTHETIC_DEMO_DATA
PID-00034,UNIT-16,40.6,7,8,0.22,9.1,3,20.9,False,2,2,4,4,3,0.52,0,SYNTHETIC_DEMO_DATA
PID-00035,UNIT-17,60.6,4,3,0.45,5.0,2,39.9,False,3,3,3,3,3,0.463,0,SYNTHETIC_DEMO_DATA
PID-00036,UNIT-28,67.8,5,14,0.08,7.1,2,23.9,False,3,3,3,3,3,0.433,0,SYNTHETIC_DEMO_DATA
PID-00037,UNIT-25,50.4,12,5,0.02,8.0,0,13.0,False,2,4,5,3,3,0.398,0,SYNTHETIC_DEMO_DATA
PID-00038,UNIT-32,40.2,7,12,0.21,8.1,2,27.4,False,4,3,3,3,2,0.444,0,SYNTHETIC_DEMO_DATA
PID-00039,UNIT-27,40.5,6,1,0.3,7.7,0,27.7,True,3,3,3,3,2,0.519,0,SYNTHETIC_DEMO_DATA
PID-00040,UNIT-40,61.1,7,0,0.1,6.9,0,16.0,False,2,3,4,2,3,0.384,0,SYNTHETIC_DEMO_DATA
PID-00041,UNIT-34,62.4,4,7,0.42,10.9,2,8.4,False,4,2,2,3,2,0.6,0,SYNTHETIC_DEMO_DATA
PID-00042,UNIT-24,59.6,8,0,0.42,3.4,2,25.4,False,3,4,2,3,3,0.518,0,SYNTHETIC_DEMO_DATA
PID-00043,UNIT-01,42.7,5,18,0.11,4.5,1,20.6,False,2,3,5,2,1,0.275,0,SYNTHETIC_DEMO_DATA
PID-00044,UNIT-15,55.3,5,0,0.24,4.4,1,4.8,False,3,4,4,2,3,0.455,0,SYNTHETIC_DEMO_DATA
PID-00045,UNIT-06,53.6,13,2,0.11,3.9,1,22.5,False,1,3,4,3,4,0.442,0,SYNTHETIC_DEMO_DATA
PID-00046,UNIT-18,55.1,3,11,0.36,0.0,3,13.6,False,3,3,4,3,3,0.39,0,SYNTHETIC_DEMO_DATA
PID-00047,UNIT-40,64.2,10,5,0.07,9.1,1,4.8,False,3,3,3,3,4,0.477,0,SYNTHETIC_DEMO_DATA
PID-00048,UNIT-17,55.1,7,0,0.09,1.9,3,16.5,True,2,3,3,3,4,0.486,0,SYNTHETIC_DEMO_DATA
PID-00049,UNIT-33,61.5,5,21,0.12,5.5,0,32.8,False,4,3,4,2,3,0.405,0,SYNTHETIC_DEMO_DATA
PID-00050,UNIT-19,52.9,5,2,0.26,0.7,1,32.1,False,2,4,4,2,3,0.291,0,SYNTHETIC_DEMO_DATA
PID-00051,UNIT-24,56.0,7,7,0.11,6.9,0,29.5,False,3,4,4,3,3,0.431,1,SYNTHETIC_DEMO_DATA
PID-00052,UNIT-02,60.8,6,7,0.37,2.6,1,22.7,False,3,3,3,4,3,0.456,0,SYNTHETIC_DEMO_DATA
PID-00053,UNIT-28,31.6,4,13,0.37,1.6,0,26.0,False,2,4,4,1,2,0.219,0,SYNTHETIC_DEMO_DATA
PID-00054,UNIT-10,47.5,5,11,0.58,5.6,0,21.0,False,3,2,2,3,3,0.526,0,SYNTHETIC_DEMO_DATA
PID-00055,UNIT-19,45.4,8,4,0.2,2.9,1,8.9,False,2,2,3,3,3,0.38,0,SYNTHETIC_DEMO_DATA
PID-00056,UNIT-40,43.1,6,7,0.24,3.3,0,10.9,False,3,4,3,3,2,0.416,0,SYNTHETIC_DEMO_DATA
PID-00057,UNIT-09,48.1,7,7,0.52,5.5,2,13.9,False,4,3,3,4,4,0.579,0,SYNTHETIC_DEMO_DATA
PID-00058,UNIT-38,72.9,6,13,0.06,7.4,1,34.0,False,3,3,5,3,3,0.418,1,SYNTHETIC_DEMO_DATA
PID-00059,UNIT-34,39.9,4,1,0.15,2.5,3,30.8,True,2,3,3,3,3,0.479,0,SYNTHETIC_DEMO_DATA
PID-00060,UNIT-02,65.6,6,21,0.5,2.0,1,9.2,False,2,3,3,2,2,0.351,0,SYNTHETIC_DEMO_DATA
PID-00061,UNIT-15,30.0,12,4,0.3,5.1,2,20.5,False,3,3,4,3,3,0.451,0,SYNTHETIC_DEMO_DATA
PID-00062,UNIT-40,47.3,5,8,0.2,6.6,2,16.0,False,3,2,3,3,4,0.448,0,SYNTHETIC_DEMO_DATA
PID-00063,UNIT-19,54.3,12,2,0.09,9.4,2,18.4,False,3,2,3,3,3,0.566,0,SYNTHETIC_DEMO_DATA
PID-00064,UNIT-32,60.2,7,1,0.19,1.8,3,14.6,True,2,4,4,2,3,0.284,0,SYNTHETIC_DEMO_DATA
PID-00065,UNIT-37,62.0,9,3,0.1,4.0,3,34.1,False,3,3,4,3,3,0.455,0,SYNTHETIC_DEMO_DATA
PID-00066,UNIT-01,63.1,4,3,0.44,8.5,2,19.8,False,4,3,3,4,2,0.607,0,SYNTHETIC_DEMO_DATA
PID-00067,UNIT-30,47.1,5,6,0.27,10.9,1,22.2,False,3,3,3,2,3,0.512,0,SYNTHETIC_DEMO_DATA
PID-00068,UNIT-37,45.5,8,3,0.22,2.0,2,22.2,False,4,4,4,3,2,0.432,0,SYNTHETIC_DEMO_DATA
